Nation,Region,Recognition,Address,Website
Ketchikan Indian Community,Alaska,Federal,"2960 Tongass Ave, Ketchikan, AK99901-5742",http://www.kictribe.org
Keweenaw Bay Indian Community of Michigan,Midwest,Federal,"107 Bear Town Road, Baraga, MI49908-9210",http://www.kbic-nsn.gov
Kialegee Tribal Town,Eastern Oklahoma,Federal,"PO Box 332, Wetumka, OK74883-0332",http://kialegeetribal.webstarts.com
Kickapoo Traditional Tribe of Texas,Southern Plains,Federal,"Kickapoo Traditional Tribe of Texas, 2212 Rosita Valley Rd, Eagle Pass, TX78852-9752",http://www.texasindians.com
Kickapoo Tribe in Kansas,Southern Plains,Federal,"824 11th Dr, Horton, KS66439-9537",http://www.ktik-nsn.gov
Kickapoo Tribe of Oklahoma,Southern Plains,Federal,"PO Box 70, McLoud, OK74851-0070",http://www.kickapootribeofoklahoma.com
King Island Native Community (IRA),Alaska,Federal,"PO Box 682, Nome, AK99762-0992",
King Salmon Tribe,Alaska,Federal,"PO Box 68, King Salmon, AK99613-0068",
Kiowa Tribe of Oklahoma,Southern Plains,Federal,"PO Box 369, Carnegie, OK73015-0369",http://www.kiowatribe.org
Klamath Tribes,Northwest,Federal,"PO Box 436, Chiloquin, OR97624-0436",http://www.klamathtribes.org
Klawock Cooperative Association,Alaska,Federal,"PO Box 430, Klawock, AK99925-0430",http://www.klawock.org/
Knik Tribe,Alaska,Federal,"PO Box 871565, Wasilla, AK99687-1565",https://kniktribe.org/
Kokhanok Village,Alaska,Federal,"2 Bay Shore Dr, Kokhanok, AK99606-1007",
Kootenai Tribe of Idaho,Northwest,Federal,"PO Box 1269, Bonners Ferry, ID83805-1269",http://www.kootenai.org
Koyukuk Native Village,Alaska,Federal,"PO Box 109, Koyukuk, AK99754",
La Jolla Band of Luiseno Indians,Pacific,Federal,"22003 Highway 76, Pauma Valley, CA92061-9721",http://www.lajollaindians.com
La Posta Band of Mission Indians,Pacific,Federal,"8 Crestwood Rd, Boulevard, CA91905-0220",http://www.lptribe.net
Lac Courte Oreilles Band of Lake Superior Chippewa Indians,Midwest,Federal,"13394 W Trepania Road, Hayward, WI54843-2186",http://www.lco-nsn.gov
Lac du Flambeau Band of Lake Superior Chippewa Indians,Midwest,Federal,"PO Box 67, Lac Du Flambeau, WI54538-0067",http://www.lacduflambeautribe.com
Lac Vieux Desert Band of Lake Superior Chippewa,Midwest,Federal,"PO Box 249, Watersmeet, MI49969-0249",http://www.lvdtribal.com
Las Vegas Paiute Tribe,Western,Federal,"One Paiute Drive, Las Vegas, NV89106-3261",http://www.lvpaiutetribe.com
Leech Lake Band of Ojibwe,Midwest,Federal,"190 Sailstar Dr NE, Cass Lake, MN56633",http://www.llojibwe.org
Lenape Indian Tribe of Delaware,Northeast,State,"4164 N Dupont Hwy Ste 6, Dover, DE19901-1573",http://www.lenapeindiantribeofdelaware.com
Levelock Village Council,Alaska,Federal,"PO Box 70, Levelock, AK99625-0070",
Lime Village,Alaska,Federal,"PO Box LVD, McGrath, AK99627",
Lipan Apache Tribe of Texas,Southern Plains,State,"PO Box 5218, McAllen, TX78502",http://www.lipanapache.org/Communitypages.html
Little River Band of Ottawa Indians,Midwest,Federal,"2608 Government Center Dr, Manistee, MI49660-2729",http://www.lrboi.com
Little Shell Tribe of Chippewa Indians of Montana,Rocky Mountain,State,"615 Central Ave West, Great Falls, MT59404",https://www.montanalittleshelltribe.org/
Little Traverse Bay Bands of Odawa Indians,Midwest,Federal,"7500 Odawa Circle, Harbor Springs, MI49740-9692",http://www.ltbbodawa-nsn.gov
Lone Pine Paiute Shoshone Reservation,Pacific,Federal,"PO Box 747, Lone Pine, CA93545-0747",http://www.lppsr.org
Los Coyotes Band of Cahuilla and Cupeno Indians,Pacific,Federal,"PO Box 189, Warner Springs, CA92086-0189",http://www.loscoyotestribe.com/home2
Lovelock Paiute Tribe,Western,Federal,"PO Box 878, Lovelock, NV89419-0878",http://www.lovelockpaiutetribe.com/
Lower Brule Sioux Tribe,Great Plains,Federal,"187 Oyate Circle, Lower Brule, SD57548-0187",https://www.lowerbrulesiouxtribe.com/
Lower Elwha Klallam Tribe,Northwest,Federal,"2851 Lower Elwha Road, Port Angeles, WA98363-8409",http://www.elwha.org/home.html
Lower Lake Rancheria,Pacific,Federal,"PO Box 3162, Santa Rosa, CA95402-3162",http://www.koination.com
Lower Sioux Indian Community,Midwest,Federal,"PO Box 308, Morton, MN56270-1253",http://www.lowersioux.com
Lumbee Tribe of North Carolina,Southeast,State,"PO Box 2709, Pembroke, NC28372-2709",http://www.lumbeetribe.com
Lummi Nation,Northwest,Federal,"2665 Kwina Rd, Bellingham, WA98226-9291",http://www.lummi-nsn.gov
Lytton Rancheria of California,Pacific,Federal,"437 Aviation Boulevard, Santa Rosa, CA95403",
Ma-Chis Lower Creek Indian Tribe of Alabama,Southeast,State,"2950 County Road 377, Elba, AL36323",http://www.machistribe.com
Makah Indian Tribe,Northwest,Federal,"PO Box 115, Neah Bay, WA98357-0115",http://www.makah.com
Manchester Point Arena Band of Pomo Indians,Pacific,Federal,"PO Box 623, Point Arena, CA95468-0623",
Manley Hot Springs Village,Alaska,Federal,"PO Box 105, Manley Hot Springs, AK99756-0105",
Manokotak Village,Alaska,Federal,"PO Box 169, Manokotak, AK99628-0169",
Manzanita Band of Kumeyaay Nation,Pacific,Federal,"PO Box 1302, Boulevard, CA91905-0402",
Mashantucket Pequot Tribe,Northeast,Federal,"PO Box 3060, Mashantucket, CT06338-3060",https://www.mptn-nsn.gov/default.aspx
Mashpee Wampanoag Tribe,Northeast,Federal,"483 Great Neck Rd S, Mashpee, MA02649-3707",https://mashpeewampanoagtribe-nsn.gov/
Match-E-Be-Nash-She-Wish Band of Pottawatomi Indians,Midwest,Federal,"2872 Mission Drive, Shelbyville, MI49344",http://www.mbpi.org
McGrath Native Village,Alaska,Federal,"PO Box 134, Mc Grath, AK99627-0134",
Mechoopda Indian Tribe of Chico Rancheria,Pacific,Federal,"125 Mission Ranch Boulevard, Chico, CA95926-2175",http://www.mechoopda-nsn.gov
Mendas Cha-Ag Tribe of Healy Lake,Alaska,Federal,"600 University Avenue, Suite 100, Fairbanks, AK99709",www.healylake.org
Menominee Indian Tribe of Wisconsin,Midwest,Federal,"PO Box 910, Keshena, WI54135-0910",http://www.menominee-nsn.gov
Mentasta Lake Traditional Council,Alaska,Federal,"PO Box 6019, Mentasta Lake, AK99780-6019",
Mesa Grande Band of Mission Indians,Pacific,Federal,"PO Box 270, Santa Ysabel, CA92070-0270",http://mesagrandeband-nsn.gov/
Mescalero Apache Tribe,Southwest,Federal,"PO Box 227, Mescalero, NM88340-0227",http://www.mescaleroapachetribe.com
"Metlakatla Indian Community, Annette Island Reserve",Alaska,Federal,"PO Box 8, Metlakatla, AK99926-0008",http://www.metlakatla.com
Miami Tribe of Oklahoma,Eastern Oklahoma,Federal,"PO Box 1326, Miami, OK74355-1326",http://www.miamination.com
Miccosukee Indian Tribe of Florida,Southeast,Federal,"PO Box 440021, Miami, FL33144-0021",http://www.miccosukeetribe.com
Middletown Rancheria,Pacific,Federal,"PO Box 1035, Middletown, CA95461-1035",http://www.middletownrancheria-nsn.gov/
Mille Lacs Band of Ojibwe,Midwest,Federal,"43408 Oodena Dr, Onamia, MN56359-2236",http://millelacsband.com/
Minnesota Chippewa Tribe,Midwest,Federal,"PO Box 217, Cass Lake, MN56633-0217",http://www.mnchippewatribe.org
Mississippi Band of Choctaw Indians,Southeast,Federal,"101 Industrial Road, Choctaw, MS39350-6090",http://www.choctaw.org
Moapa Band of Paiutes,Western,Federal,"PO Box 340, Moapa, NV89025-0340",http://www.moapapaiutes.com
Modoc Tribe of Oklahoma,Eastern Oklahoma,Federal,"22 N. Eighth Tribes Trail, Miami, OK74354-8224",http://www.modoctribe.net
Mohegan Indian Tribe,Northeast,Federal,"13 Crow Hill Road, Uncasville, CT06382-1118",http://www.mohegan.nsn.us
Monacan Indian Nation,Southeast,Federal,"111 Highview Drive, Madison Heights, VA24572",http://www.monacannation.com
Mooretown Rancheria,Pacific,Federal,"1 Alverda Drive, Oroville, CA95966-9379",
Morongo Band of Mission Indians,Pacific,Federal,"12700 Pumarra Rd, Banning, CA92220-6977",http://www.morongonation.org
Mowa Band of Choctaw Indians,Southeast,State,"1080 W Red Fox Road, Mt. Vernon, AL",http://www.mowa-choctaw.com
Muckleshoot Indian Tribe,Northwest,Federal,"39015 172nd Avenue SE, Auburn, WA98092-9763",http://www.muckleshoot.nsn.us
Muscogee (Creek) Nation,Eastern Oklahoma,Federal,"PO Box 580 Hwy.75 & Loop 56, Okmulgee, OK74447-0580",http://www.muscogeenation-nsn.gov
Naknek Native Village,Alaska,Federal,"PO Box 210, Naknek, AK99633-0106",
Nansemond Tribe,Northeast,Federal,"1001 Pembroke Lane, Suffolk, VA 23434",http://www.nansemond.org
"Nanticoke Indian Association, Inc.",Northeast,State,"27073 John J Williams Hwy, Millsboro, DE19966-4642",http://www.nanticokeindians.org/
Nanticoke-Lenni Lenape Tribal Nation,Northeast,State,"18 E Commerce St, Bridgeton, NJ08302-2649",http://nanticoke-lenapetribalnation.org/
Narragansett Indian Tribe,Northeast,Federal,"PO Box 268, Charlestown, RI02813-0268",http://narragansettindiannation.org/
Native Village of Afognak,Alaska,Federal,"323 Carolyn Street, Kodiak, AK99615",http://www.afognak.org
Native Village of Akhiok,Alaska,Federal,"PO Box 5030, Akhiok, AK99615-5030",
Native Village of Akutan,Alaska,Federal,"PO Box 89, Akutan, AK99553-0089",
Native Village of Aleknagik,Alaska,Federal,"PO Box 115, Aleknagik, AK99555-0115",http://www.bbna.com
Native Village of Ambler,Alaska,Federal,"PO Box 47, Ambler, AK99786-0047",
Native Village of Atka,Alaska,Federal,"PO Box 47030, Atka, AK99547-0030",
Native Village of Barrow Inupiat Traditional Government,Alaska,Federal,"PO Box 1130, Barrow, AK99723-1130",http://www.nvbarrow.com/
Native Village of Belkofski,Alaska,Federal,"PO Box 57, King Cove, AK99612-0057",
Native Village of Brevig Mission,Alaska,Federal,"PO Box 85039, Brevig Mission, AK99785-0039",
Native Village of Buckland (IRA),Alaska,Federal,"PO Box 67, Buckland, AK99727-0067",
Native Village of Cantwell,Alaska,Federal,"PO Box 94, Cantwell, AK99729-0094",
Native Village of Chenega aka Chanega,Alaska,Federal,"PO Box 8079, Chenega Bay, AK99574-8079",
Native Village of Chignik Lagoon,Alaska,Federal,"PO Box 09, Chignik Lagoon, AK99565",http://www.chigniklagoon.net/index.html
Native Village of Chignik Lagoon Council,Alaska,Federal,"PO Box 09, Chignik Lagoon, AK99565",http://www.chigniklagoon.net/
"Native Village of Chuathbaluk (Russian Mission, Kuskokwim)",Alaska,Federal,"PO Box CHU, Chuathbaluk, AK99557-8999",
Native Village of Council,Alaska,Federal,"PO Box 2050, Nome, AK99762-2050",http://www.kawerak.org
Native Village of Crooked Creek,Alaska,Federal,"PO Box 69, Crooked Creek, AK99575-0069",
Native Village of Deering,Alaska,Federal,"PO Box 36089, Deering, AK99736-0089",
Native Village of Diomede (IRA) (aka Inalik),Alaska,Federal,"PO Box 7079, Diomede, AK99762-7079",
Native Village of Eagle,Alaska,Federal,"PO Box 19, Eagle, AK99738-0019",
Native Village of Eek,Alaska,Federal,"PO Box 89, Eek, AK99578-0089",
Native Village of Eklutna,Alaska,Federal,"26339 Eklutna Village Rd, Chugiak, AK99567-5148",http://www.eklutna-nsn.gov
Native Village of Ekuk,Alaska,Federal,"PO Box 530, Dillingham, AK99576-0530",
Native Village of Ekwok,Alaska,Federal,"PO Box 70, Ekwok, AK99580",
Native Village of Elim (IRA),Alaska,Federal,"PO Box 39070, Elim, AK99739-0070",
Native Village of Eyak (Cordova),Alaska,Federal,"PO Box 1388, Cordova, AK99574-1388",http://nveyak.com/
Native Village of False Pass,Alaska,Federal,"PO Box 29, False Pass, AK99583-0029",
Native Village of Gakona,Alaska,Federal,"PO Box 102, Gakona, AK99586-0102",http://www.nvgakona.com
Native Village of Gambell,IRA,Federal,"PO Box 90, Gambell, AK99742-0090",
Native Village of Georgetown,Alaska,Federal,"5313 Arctic Blvd, Suite 104, Anchorage, AK99518-1111",http://www.georgetowntc.com
Native Village of Goodnews Bay,Alaska,Federal,"PO Box 138, Goodnews Bay, AK99589-0138",
Native Village of Hamilton,Alaska,Federal,"PO Box 20248, Kotlik, AK99620-0248",
Native Village of Hooper Bay,Alaska,Federal,"PO Box 69, Hooper Bay, AK99604-0069",
Native Village of Kanatak (IRA),Alaska,Federal,"PO Box 876822, Wasilla, AK99687-2231",http://www.kanatak.com/
Native Village of Karluk (IRA),Alaska,Federal,"PO Box 22, Karluk, AK99608-0022",
Native Village of Kasigluk,Alaska,Federal,"PO Box 19, Kasigluk, AK99609-0019",
Native Village of Kiana,Alaska,Federal,"PO Box 69, Kiana, AK99749-0069",
Native Village of Kipnuk,Alaska,Federal,"PO Box 57, Kipnuk, AK99614-0057",
Native Village of Kivalina (IRA),Alaska,Federal,"PO Box 50051, Kivalina, AK99750",
Native Village of Kluti-Kaah (aka Copper Center),Alaska,Federal,"PO Box 68, Copper Center, AK99573-0068",http://www.klutikaah.com/
Native Village of Kobuk,Alaska,Federal,"PO Box 51039, Kobuk, AK99751-0039",
Native Village of Kongiganak,Alaska,Federal,"PO Box 5069, Kongiganak, AK99559-5069",
Native Village of Kotzebue (IRA),Alaska,Federal,"PO Box 296, Kotzebue, AK99752-0296",http://www.kotzebueira.org/
Native Village of Koyuk (IRA),Alaska,Federal,"PO Box 53030, Koyuk, AK99753-0030",
Native Village of Kwigillingok ( IRA),Alaska,Federal,"PO Box 90, Kwigillingok, AK99622-0049",
Native Village of Kwinhagak (IRA),Alaska,Federal,"PO Box 149, Quinhagak, AK99655-0149",
Native Village of Larsen Bay,Alaska,Federal,"PO Box 50, Larsen Bay, AK99624-0050",
Native Village of Marshall (aka Fortuna Ledge),Alaska,Federal,"PO Box 110, Marshall, AK99585-0110",
Native Village of Mary's Igloo,Alaska,Federal,"PO Box 546, Teller, AK99778-0629",
Native Village of Mekoryuk (IRA),Alaska,Federal,"PO Box 66, Mekoryuk, AK99630-0066",http://www.mekoryuktc.org/
Native Village of Minto,Alaska,Federal,"PO Box 58026, Minto, AK99758-0026",
Native Village of Nanwalek (aka English Bay),Alaska,Federal,"PO Box 8028, Nanwalek, AK99603-6628",
Native Village of Napaimute,Alaska,Federal,"2920 Hogan Bay Circle, Anchorage, AK99515",
Native Village of Napakiak (IRA),Alaska,Federal,"PO Box 34069, Napakiak, AK99634-0069",
Native Village of Napaskiak,Alaska,Federal,"PO Box 6009, Napaskiak, AK99559-6009",
Native Village of Nelson Lagoon,Alaska,Federal,"PO Box 913, Nelson Lagoon, AK99571-0013",
Native Village of Nightmute,Alaska,Federal,"PO Box 90021, Nightmute, AK99690-0021",
Native Village of Nikolski (IRA),Alaska,Federal,"PO Box 105, Nikolski, AK99638",
Native Village of Noatak (IRA),Alaska,Federal,"PO Box 89, Noatak, AK99761-0089",
Native Village of Noorvik (IRA),Alaska,Federal,"PO Box 209, Noorvik, AK99763-0209",
Native Village of Nuiqsut (aka Nooiksut),Alaska,Federal,"PO Box 89169, Nuiqsut, AK99789",
Native Village of Nunapitchuk (IRA),Alaska,Federal,"PO Box 130, Nunapitchuk, AK99641-0130",
Native Village of Ouzinkie,Alaska,Federal,"PO Box 130, Ouzinkie, AK99644-0130",
Native Village of Paimiut,Alaska,Federal,"PO Box 240084, Anchorage, AK99524",
Native Village of Perryville,Alaska,Federal,"PO Box 89, Perryville, AK99648-0089",
Native Village of Pitka's Point,Alaska,Federal,"PO Box 127, St. Mary's, AK99658",
Native Village of Point Hope (IRA),Alaska,Federal,"PO Box 109, Point Hope, AK99766-0109",
Native Village of Point Lay,Alaska,Federal,"PO Box 59031, Point Lay, AK99759-0031",
Native Village of Port Heiden,Alaska,Federal,"PO Box 49007, Port Heiden, AK99549-0007",
Native Village of Port Lions,Alaska,Federal,"PO Box 69, Port Lions, AK99550-0069",
Native Village of Saint. Michael (IRA),Alaska,Federal,"PO Box 59050, Saint Michael, AK99659-0050",
Native Village of Savoonga (IRA),Alaska,Federal,"PO Box 120, Savoonga, AK99769-0120",
Native Village of Selawik,Alaska,Federal,"PO Box 59, 95 North Tundra St, Selawik, AK99770-0059",
Native Village of Shaktoolik (IRA),Alaska,Federal,"PO Box 100, Shaktoolik, AK99771-0100",
Native Village of Sheldon Point - Nunam Iqua Tribal Council,Alaska,Federal,"PO Box 27, Sheldon's Point, AK99666-0027",
Native Village of Shishmaref (IRA),Alaska,Federal,"PO Box 72110, Shishmaref, AK99772-2110",
Native Village of Shungnak (IRA),Alaska,Federal,"PO Box 64, Shungnak, AK99773",
Native Village of South Naknek,Alaska,Federal,"2521 East Mountain Village Dr Suite B. PMB 388, Wasilla, AK99654",
Native Village of Stevens (IRA),Alaska,Federal,"PO Box 74016, Stevens Village, AK99774-0012",
Native Village of Tanacross,Alaska,Federal,"PO Box 76009, Tanacross, AK99776-6009",
Native Village of Tanana (IRA),Alaska,Federal,"PO Box 77130, Tanana, AK99777",
Native Village of Tatitlek (IRA),Alaska,Federal,"PO Box 171, Tatitlek, AK99677-0171",
Native Village of Tazlina,Alaska,Federal,"PO Box 87, Glennallen, AK99588-0087",http://www.tazlina.org
Native Village of Tetlin (IRA),Alaska,Federal,"PO Box 797, Tok, AK99780",
Native Village of Tuntutuliak,Alaska,Federal,"PO Box 8086 - Patluska Street,, Tuntutuliak, AK99680-0086",
Native Village of Tyonek (IRA),Alaska,Federal,"PO Box 82009, Tyonek, AK99682-0009",
Native Village of Unalakleet (IRA),Alaska,Federal,"PO Box 270, Unalakleet, AK99684-0270",
Native Village of Wales (IRA),Alaska,Federal,"PO Box 549, Wales, AK99783-0549",http://www.kawerak.org
Native Village of White Mountain (IRA),Alaska,Federal,"PO Box 84090, White Mountain, AK99784-0082",
Navajo Nation,Navajo Region,Federal,"PO Box 7440, Window Rock, AZ86515-7440",http://www.navajo-nsn.gov
Nenana Traditional Council,Alaska,Federal,"PO Box 369, Nenana, AK99760-0356",
New Koliganek Village Council,Alaska,Federal,"PO Box 5057, Koliganek, AK99576-5057",
New Stuyahok Village,Alaska,Federal,"PO Box 49, New Stuyahok, AK99636-0049",
Newhalen Village,Alaska,Federal,"PO Box 207, Newhalen, AK99606",
Newtok Traditional Council,Alaska,Federal,"PO Box 5545, Newtok, AK99559-5545",
Nez Perce Tribe,Northwest,Federal,"PO Box 305, Lapwai, ID83540-0305",http://www.nezperce.org
Ninilchik Traditional Council,Alaska,Federal,"PO Box 39070, Ninilchik, AK99639-0070",http://www.ninilchiktribe-nsn.gov
Nisqually Indian Tribe,Northwest,Federal,"4820 She-Nah-Num Drive, SE, Olympia, WA98513-9199",http://www.nisqually-nsn.gov/
Nome Eskimo Community,Alaska,Federal,"PO Box 1090, Nome, AK99762-1090",http://www.necalaska.org
Nondalton Village,Alaska,Federal,"PO Box 49, Nondalton, AK99640-0049",
Nooksack Indian Tribe,Northwest,Federal,"PO Box 157, Deming, WA98244-0157",http://www.nooksacktribe.org
Northern Arapaho Tribe,Rocky Mountain,Federal,"PO Box 396, Fort Washakie, WY82514-0396",http://www.northernarapaho.com
Northern Cheyenne Tribe,Rocky Mountain,Federal,"PO Box 128, Lame Deer, MT59043-0128",http://tribalnations.mt.gov/northerncheyenne
Northfork Rancheria,Pacific,Federal,"PO Box 929, North Fork, CA93643-0929",http://northforkrancheria-nsn.gov/home
Northway Village,Alaska,Federal,"PO Box 516, Northway, AK99764-0516",
Northwestern Band of the Shoshone Nation,Northwest,Federal,"707 North Main Street, Brigham City, UT84302-1449",http://www.nwbshoshone-nsn.gov
Nottawaseppi Huron Band of Potawatomi,Midwest,Federal,"2221 1 1/2 Mile Road, Fulton, MI49052-9602",http://www.nhbpi.com
Nottoway Indian Tribe of Virginia,Southeast,State,"PO Box 246, Capron, VA23829-0246",http://www.nottowayindians.org/
Nulato Village,Alaska,Federal,"PO Box 65049, Nulato, AK99765-0049",
Nunakauyarmiut Tribe,Alaska,Federal,"PO Box 37048, Toksook Bay, AK99637-7048",
Occaneechi Band of the Saponi Nation,Southeast,State,"PO Box 356, Mebane, NC27302",http://www.obsn.org/
Oglala Sioux Tribe,Great Plains,Federal,"PO Box 2070, Pine Ridge, SD57770-2070",http://oglalalakotanation.info/index.html
Ohkay Owingeh,Southwest,Federal,"PO Box 1099, Ohkay Owingeh, NM87566-1099",
Omaha Tribe of Nebraska,Great Plains,Federal,"PO Box 368, Macy, NE68039-0368",https://www.omahatribe.com/
Oneida Indian Nation,Northeast,Federal,"5218 Patrick Rd, Verona, NY13478-3012",http://www.oneidaindiannation.com/
Oneida Nation,Midwest,Federal,"PO Box 365, Oneida, WI54155-0365",http://www.oneidanation.org
Onondaga Indian Nation,Northeast,Federal,"4040 Route 11, Nedrow, NY",https://www.onondaganation.org/
Organized Village of Grayling (IRA) (aka Holikachuk),Alaska,Federal,"PO Box 49, Grayling, AK99590-0049",
Organized Village of Kake (IRA),Alaska,Federal,"PO Box 316, Kake, AK99830-0316",http://www.kakefirstnation.org
Organized Village of Kasaan (IRA),Alaska,Federal,"PO Box 26 - KXA, Kasaan, AK99950-0340",http://www.kasaan.org
Organized Village of Kwethluk (IRA),Alaska,Federal,"PO Box 130, Kwethluk, AK99621-0130",
Organized Village of Saxman (IRA),Alaska,Federal,"RR 2 Box 2-Saxman, Ketchikan, AK99901-9802",
Orutsararmiut Traditional Native Council,Alaska,Federal,"PO Box 927, Bethel, AK99559-0927",
Osage Nation,Eastern Oklahoma,Federal,"627 Grandview Ave, Pawhuska, OK74056-4201",https://www.osagenation-nsn.gov/
Oscarville Traditional Village,Alaska,Federal,"PO Box 6129, Napaskiak, AK99559-6129",
Otoe-Missouria Tribe of Indians,Southern Plains,Federal,"8151 Highway 177, Red Rock, OK74651-0348",http://www.omtribe.org/
Ottawa Tribe of Oklahoma,Eastern Oklahoma,Federal,"PO Box 110, Miami, OK74355-0110",http://www.ottawatribe.org
Paiute Indian Tribe of Utah,Western,Federal,"440 N Paiute Drive, Cedar City, UT84720",http://www.utahpaiutes.org
Paiute-Shoshone Tribe of the Fallon Reservation and Colony,Western,Federal,"565 Rio Vista Drive, Fallon, NV89406-6415",http://www.fpst.org
Pala Band of Mission Indians,Pacific,Federal,"35008 Pala Temecula Rd, Pala, CA92059-2419",http://www.palatribe.com
Pamunkey Indian Tribe,Northeast,Federal,"1054 Pocahontas Trail, King Williams, VA23086",http://www.pamunkey.org
Pascua Yaqui Tribe of Arizona,Western,Federal,"7474 S. Camino De Oeste, Tucson, AZ85757",http://www.pascuayaqui-nsn.gov
Paskenta Band of Nomlaki Indians,Pacific,Federal,"PO Box 709, Corning, CA96021",http://www.paskenta-nsn.gov
Passamaquoddy Tribe - Indian Township Reservation,Northeast,Federal,"PO Box 301, Princeton, ME04668-0301",https://www.passamaquoddy.com/
Passamaquoddy Tribe - Pleasant Point Reservation,Northeast,Federal,"9 Sakom Dr, Perry, ME04667-0343",http://www.wabanaki.com
Pauloff Harbor Village,Alaska,Federal,"PO Box 97, Sand Point, AK99661-0097",
Pauma/Yuima Band of Mission Indians,Pacific,Federal,"PO Box 369, Pauma Valley, CA92061-0369",http://www.paumatribe.com/
Pawnee Nation of Oklahoma,Southern Plains,Federal,"PO Box 470, Pawnee, OK74058-0470",http://www.pawneenation.org
Pechanga Band of Mission Indians,Pacific,Federal,"PO Box 1477, Temecula, CA92593-1477",http://www.pechanga-nsn.gov
Pedro Bay Village,Alaska,Federal,"PO Box 47020, Pedro Bay, AK99647-0020",http://www.pedrobay.com
Pee Dee Indian Tribe,Western,State,"445 Williams Street, McColl, SC29570",http://www.peedeetribe.org/home.html
Penobscot Indian Nation,Northeast,Federal,"12 Wabanaki Way, Indian Island, ME04468-1254",http://www.penobscotnation.org
