Nation,Region,Recognition,Address,Website
Peoria Tribe of Oklahoma,Eastern Oklahoma,Federal,"118 S Eight Tribes Trail, Miami, OK74354",http://www.peoriatribe.com
Petersburg Indian Association (IRA),Alaska,Federal,"PO Box 1418, Petersburg, AK99833-1418",http://www.piatribal.org/
Picayune Rancheria of Chukchansi Indians,Pacific,Federal,"PO Box 2226, Oakhurst, CA93644",
Pilot Point Tribal Council,Alaska,Federal,"PO Box 449, Pilot Point, AK99649-0449",
Pilot Station Traditional Village,Alaska,Federal,"PO Box 5119, Pilot Station, AK99650-0119",
Pinoleville Pomo Nation,Pacific,Federal,"500 Pinoleville Rd Ste B, Ukiah, CA95482-7121",http://www.pinolevillepomonation.org/
Piqua Shawnee Tribe,Southeast,State,"34112 Wellford Circle, Birmingham, AL",http://www.piquashawnee.com
Pit River Tribe,Pacific,Federal,"3670 Park Avenue, Burney, CA96013-4128",http://www.pitrivertribe.org/
Platinum Traditional Village Council,Alaska,Federal,"PO Box 8, Platinum, AK99651-0008",
Poarch Band of Creek Indians,Southeast,Federal,"5811 Jack Springs Road, Atmore, AL36502-5025",http://www.poarchcreekindians.org
Pointe-Au-Chien Indian Tribe,Southeast,State,"PO Box 416, Montegut, LA70377-0416",http://pactribe.tripod.com
Pokagon Band of Potawatomi Indians,Midwest,Federal,"PO Box 180, Dowagiac, MI49047-9329",http://www.pokagon.com
Ponca Tribe of Nebraska,Great Plains,Federal,"PO Box 288, Niobrara, NE68760-0288",http://www.poncatribe-ne.org
Ponca Tribe of Oklahoma,Southern Plains,Federal,"20 White Eagle Drive, Ponca City, OK74601-8310",http://www.ponca.com
Port Gamble S'Klallam Tribe,Northwest,Federal,"31912 Little Boston Road, NE, Kingston, WA98346-9700",http://www.pgst.nsn.us
Port Graham Village Council,Alaska,Federal,"PO Box 5510, Port Graham, AK99603-5510",http://www.portgraham.org/
Portage Creek Village (aka Ohgenakale),Alaska,Federal,"1057 W. Fireweed Lane, Suite 220, Anchorage, AK99503",
Potter Valley Rancheria,Pacific,Federal,"2251 South State Street, Ukiah, CA95482-6723",http://www.pottervalleytribe.com
Prairie Band Potawatomi Nation,Southern Plains,Federal,"16281 Q Rd, Mayetta, KS66509-8970",http://www.pbpnation.org
Prairie Island Indian Community,Midwest,Federal,"5636 Sturgeon Lake Rd, Welch, MN55089-9635",http://www.prairieisland.org
Pueblo of Acoma,Southwest,Federal,"PO Box 309, Acoma, NM87034-0309",http://www.puebloofacoma.org
Pueblo of Cochiti,Southwest,Federal,"PO Box 70, Cochiti Pueblo, NM87072-0070",http://www.pueblodecochiti.org
Pueblo of Isleta,Southwest,Federal,"PO Box 1270, Isleta Pueblo, NM87022",http://www.isletapueblo.com
Pueblo of Jemez,Southwest,Federal,"PO Box 100, Jemez Pueblo, NM87024-0100",http://www.jemezpueblo.org
Pueblo of Laguna,Southwest,Federal,"PO Box 194, Laguna Pueblo, NM87026",http://www.lagunapueblo.org
Pueblo of Nambe,Southwest,Federal,"15A NP102 West, SANTA FE, NM87506-2731",http://www.nambepueblo.org
Pueblo of Picuris,Southwest,Federal,"PO Box 127, Penasco, NM87553-0127",
Pueblo of Pojoaque,Southwest,Federal,"79 Cities of Gold Road, Santa Fe, NM87506-0918",http://www.pojoaque.com
Pueblo of San Felipe,Southwest,Federal,"PO Box 4339, San Felipe Pueblo, NM87001",
Pueblo of San Ildefonso,Southwest,Federal,"02 Tunyo Po, Santa Fe, NM87506",
Pueblo of Sandia,Southwest,Federal,"481 Sandia Loop, Bernalillo, NM87004-7076",http://www.sandiapueblo.nsn.us
Pueblo of Santa Ana,Southwest,Federal,"2 Dove Road, Santa Ana Pueblo, NM87004-5906",
Pueblo of Santa Clara,Southwest,Federal,"PO Box 580, Espanola, NM87532-0580",
Pueblo of Santo Domingo,Southwest,Federal,"PO Box 99, Santo Domingo Pueblo, NM87052-0099",
Pueblo of Taos,Southwest,Federal,"PO Box 1846, Taos, NM87571-1846",http://www.taospueblo.com
Pueblo of Tesuque,Southwest,Federal,"RR 42 Box 360-T, Santa Fe, NM87506-2632",
Pueblo of Ysleta Del Sur,Southwest,Federal,"119 S Old Pueblo Road, Ysleta Del Sur Pueblo, TX79917-",http://www.ysletadelsurpueblo.org
Pueblo of Zia,Southwest,Federal,"135 Capitol Square Dr., Zia Pueblo, NM87053-6013",
Pueblo of Zuni,Southwest,Federal,"PO Box 339, Zuni, NM87327-0339",http://www.ashiwi.org
Puyallup Tribe of Indians,Northwest,Federal,"3009 East Portland Avenue, Tacoma, WA98404-4926",http://www.puyalluptribe.com
Pyramid Lake Paiute Tribe,Western,Federal,"PO Box 256, Nixon, NV89424-0256",http://www.plpt.nsn.us
Qagan Tayagungin Tribe of Sand Point Village,Alaska,Federal,"PO Box 447, Sand Point, AK99661-0447",http://www.qttribe.org
Qawalangin Tribe of Unalaska,Alaska,Federal,"PO Box 334, Unalaska, AK99685-0334",
Quapaw Tribe of Oklahoma,Eastern Oklahoma,Federal,"PO Box 765, Quapaw, OK74363-0765",http://www.quapawtribe.com
Quartz Valley Reservation,Pacific,Federal,"13601 Quartz Valley Rd, Fort Jones, CA96032-9714",http://www.qvir.com
Quechan Tribe of the Fort Yuma Indian Reservation,Western,Federal,"PO Box 1899, Yuma, AZ85366-2386",http://www.quechantribe.com
Quileute Tribe,Northwest,Federal,"PO Box 279, La Push, WA98350-0279",http://www.quileutenation.org
Quinault Indian Nation,Northwest,Federal,"PO Box 189, Taholah, WA98587-0189",http://www.quinaultindiannation.com
Ramapough Lenape Nation,Northeast,State,"189 Stag Hill Road, Nahwah, NJ07430",http://www.ramapoughlenapenation.org
Ramona Band of Cahuilla,Pacific,Federal,"56310 Highway 371, Suite B, Anza, CA92539",http:/ramona-nsn.gov
Rampart Village,Alaska,Federal,"PO Box 29, Rampart, AK99767",
Rappahannock Tribe,Southeast,Federal,"5036 Indian Neck Road, Indian Neck, VA23148",http://www.rappahannocktribe.org/
Red Cliff Band of Lake Superior Chippewa Indians,Midwest,Federal,"88385 Pike Road, Hwy 13, Bayfield, WI54814",http://www.redcliff-nsn.gov
Red Lake Band of Chippewa Indians,Midwest,Federal,"PO Box 550, Redlake, MN56671-0550",http://www.redlakenation.org
Redding Rancheria,Pacific,Federal,"2000 Redding Rancheria Road, Redding, CA96001-5528",http://www.redding-rancheria.com/
Redwood Valley Little River Band of Pomo Indians,Pacific,Federal,"3250 Road I, Redwood Valley, CA95470-9526",
Reno-Sparks Indian Colony,Western,Federal,"34 Reservation Road, Reno, NV89502-1230",http://www.rsic.org
Resighini Rancheria,Pacific,Federal,"PO Box 529, Klamath, CA95548-0529",http://www.resighinirancheria.com
Rincon Band of Mission Indians,Pacific,Federal,"1 West Tribal Road, Valley Center, CA92082-0068",http://www.rincontribe.org/
Robinson Rancheria,Pacific,Federal,"PO Box 4015, Nice, CA95464-4015",http://www.robinsonrancheria.org
Rosebud Sioux Tribe,Great Plains,Federal,"PO Box 430, Rosebud, SD57570-0430",http://www.rosebudsiouxtribe-nsn.gov
Round Valley Reservation,Pacific,Federal,"77826 Covelo Road, Covelo, CA95428-0448",http://www.rvit.org
Ruby Tribal Council,Alaska,Federal,"PO Box 210, Ruby, AK99768",
Sac & Fox Tribe of the Mississippi in Iowa,Midwest,Federal,"349 Meskwaki Road, Tama, IA52339-9634",http://www.meskwaki.org
Sac and Fox Nation of Missouri in Kansas and Nebraska,Southern Plains,Federal,"305 N Main St, Reserve, KS66434-8122",http://www.sacandfoxks.com/sacfox.nsf
Sac and Fox Nation of Oklahoma,Southern Plains,Federal,"920883 S Highway 99, Stroud, OK74079-5178",http://www.sacandfoxnation-nsn.gov
Saginaw Chippewa Indian Tribe,Midwest,Federal,"7500 Soaring Eagle Blvd, Mount Pleasant, MI48858",http://www.sagchip.org
Salt River Pima-Maricopa Indian Community,Western,Federal,"10005 E Osborn Road, Scottsdale, AZ85256-4019",http://www.srpmic-nsn.gov/
Samish Indian Tribe,Northwest,Federal,"PO Box 217, Anacortes, WA98221-0217",http://www.samishtribe.nsn.us
San Carlos Apache Tribe,Western,Federal,"PO Box 0, San Carlos, AZ",http://www.sancarlosapache.com
San Juan Southern Paiute Tribe,Western,Federal,"50 South Main Street, Suite 101, Tuba City, AZ86045",
San Manuel Band of Mission Indians,Pacific,Federal,"26569 Community Center Drive, Highland, CA92346",http://www.sanmanuel-nsn.gov
San Pasqual Band of Diegueno Indians,Pacific,Federal,"PO Box 365, Valley Center, CA92082-0365",http://www.sanpasqualbandofmissionindians.org/
Santa Rosa Band of Cahuilla Indians,Pacific,Federal,"PO Box 391820, Anza, CA92539",www.santarosacahuilla-nsn.gov
Santa Rosa Rancheria Tachi Yokut Tribe,Pacific,Federal,"PO Box 8, Lemoore, CA93245-0008",http://www.tachi-yokut-nsn.gov
Santa Ynez Band Of Chumash Tribe,Pacific,Federal,"PO Box 517, Santa Ynez, CA93460-0517",http://www.santaynezchumash.org
Santee Sioux Tribe,Great Plains,Federal,"108 Spirit Lake Ave W, Niobrara, NE68760-8605",http://www.santeedakota.org
Sauk-Suiattle Indian Tribe,Northwest,Federal,"5318 Chief Brown Lane, Darrington, WA98241-9420",http://www.sauk-suiattle.com
Sault Ste. Marie Tribe of Chippewa Indians,Midwest,Federal,"523 Ashmun Street, Sault Ste. Marie, MI49783",http://www.saulttribe.com
Scammon Bay Traditional Council,Alaska,Federal,"PO Box 110, Scammon Bay, AK99662-0110",
Schaghticoke Tribal Nation,Northeast,State,"101 Elizabeth Street 2nd Floor, Derby, CT06418-0335",http://www.schaghticoke.com
Scotts Valley Band of Pomo Indians,Pacific,Federal,"1005 Parallel Dr., Lakeport, CA95453",http://www.svpomo.org
Seaconke Wampanoag Tribe,Northeast,State,"807 Broad St, Providence , RI 02907",https://www.seaconkewampanoag.org/
Seldovia Village Tribe (IRA),Alaska,Federal,"Drawer L, Seldovia, AK99663-0250",http://www.svt.org
Seminole Indian Tribe of Florida,Southeast,Federal,"6300 Stirling Road, Hollywood, FL33024",http://www.seminoletribe.com
Seminole Nation of Oklahoma,Eastern Oklahoma,Federal,"PO Box 1498, Wewoka, OK74884-1498",http://www.sno-nsn.gov
Seneca Nation of Indians,Northeast,Federal,"12837 Route 438, Irving, NY14081",http://www.sni.org
Seneca-Cayuga Tribe of Oklahoma,Eastern Oklahoma,Federal,"23701 S 655 Road, Grove, OK74344-6317",http://www.sctribe.com
Shageluk Native Village (IRA),Alaska,Federal,"PO Box 109, Shageluk, AK99665",
Shakopee Mdewakanton Sioux Community,Midwest,Federal,"2330 Sioux Trl NW, Prior Lake, MN55372-9077",https://shakopeedakota.org/
Shawnee Tribe,Eastern Oklahoma,Federal,"PO Box 189, Miami, OK74355-0189",http://www.shawnee-tribe.com
Sherwood Valley Rancheria,Pacific,Federal,"190 Sherwood Hill Dr, Willits, CA95490-4666",https://www.sherwoodvalleybandofpomo.com/
Shingle Springs Rancheria,Pacific,Federal,"PO Box 1340, Shingle Springs, CA95682-1340",http://www.shinglespringsrancheria.com
Shinnecock Indian Nation,Northeast,Federal,"PO Box 5006, Southampton, NY11969-5006",
Shoalwater Bay Indian Tribe,Northwest,Federal,"PO Box 130, Tokeland, WA98590-0130",http://www.shoalwaterbay-nsn.gov
Shoshone-Bannock Tribes of the Fort Hall Reservation,Northwest,Federal,"PO Box 306, Fort Hall, ID83203-0306",http://www.shoshonebannocktribes.com
Shoshone-Paiute Tribes of the Duck Valley Indian Reservation,Western,Federal,"PO Box 219, Owyhee, NV89832-0219",http://www.shopaitribes.org
Sisseton-Wahpeton Oyate of the Lake Traverse Reservation,Great Plains,Federal,"PO Box 509, Agency Village, SD57262-0509",http://www.swo-nsn.gov
Sitka Tribe of Alaska (IRA),Alaska,Federal,"456 Katlian Street, Sitka, AK99835-7505",http://www.sitkatribe.org
Skagway Traditional Village,Alaska,Federal,"PO Box 1157, Skagway, AK99840-1157",http://www.skagwaytraditional.org/
Skokomish Indian Tribe,Northwest,Federal,"80 North Tribal Center Road, Shelton, , Skokomish Nation, WA98584-9748",http://www.skokomish.org
Skull Valley Band of Goshutes Indians,Western,Federal,"PO Box 448, Grantsville, UT84029-0448",
Smith River Rancheria,Pacific,Federal,"140 Rowdy Creek Rd, Smith River, CA95567-9446",http://www.tolowa-nsn.gov
Snoqualmie IndianTribe,Northwest,Federal,"PO Box 969, Snoqualmie, WA98065-0969",https://www.snoqualmietribe.us/
Soboba Band of Luiseno Indians,Pacific,Federal,"PO Box 487, San Jacinto, CA92581-0487",http://www.soboba-nsn.gov
Sokaogon Band of the Lake Superior Chippewa Indians,Midwest,Federal,"3051 Sand Lake Road, Crandon, WI54520-8815",http://www.sokaogonchippewa.com
South Fork Band Council (Te-Moak Tribe of Western Shoshone Indians of Nevada),Western,Federal,"21 Lee B-13, Spring Creek, NV89815-9784",
"Southeastern Mvskoke Nation, Inc., formerly Star Clan of Muscogee Creeks",Southeast,State,"208 Dale Cr., Midland City, AL36350",
Southern Ute Indian Tribe,Southwest,Federal,"PO Box 737, Ignacio, CO81137-0737",https://www.southernute-nsn.gov/
Spirit Lake Tribe,Great Plains,Federal,"PO Box 359, Fort Totten, ND58335-0359",http://www.spiritlakenation.com
Spokane Tribe,Northwest,Federal,"PO Box 100, Wellpinit, WA99040-0100",http://www.spokanetribe.com
Squaxin Island Tribe,Northwest,Federal,"10 SE Squaxin Lane, Shelton, WA98584-9200",http://www.squaxinisland.org
St. Croix Chippewa Indians,Midwest,Federal,"24663 Angeline Ave, Webster, WI54893-9246",http://www.stcciw.com
St. George Traditional Council,Alaska,Federal,"PO Box 940, Saint George Island, AK99591-0940",
St. Regis Mohawk Tribe,Northeast,Federal,"71 Margaret Terrance Memorial Way, Akwesasne, NY13655-3109",http://www.srmt-nsn.gov/
Standing Rock Sioux Tribe,Great Plains,Federal,"PO Box D, Fort Yates, ND58538-0522",http://www.standingrock.org
Stebbins Community Association (IRA),Alaska,Federal,"PO Box 71002, Stebbins, AK99671-0002",
Stewart Community Council (Washoe Tribe of Nevada & California),Pacific,Federal,"919 Highway 395 South, Gardnerville, NV89410",
Stewarts Point Rancheria,Pacific,Federal,"1420 Guerneville Rd Suite 1, Santa Rosa, CA95403-2039",
Stillaguamish Tribe,Northwest,Federal,"PO Box 277, Arlington, WA98223-0277",http://www.stillaguamish.nsn.us
Stockbridge-Munsee Community,Midwest,Federal,"PO Box 70, Bowler, WI54416-0070",http://www.mohican-nsn.gov
Summit Lake Paiute Tribe of Nevada,Western,Federal,"1001 Rock Blvd, Sparks, NV89431-4337",http://www.summitlaketribe.org
Sun'aq Tribe of Kodiak,Alaska,Federal,"312 West Marine Way, Kodiak, AK99615",http://www.sunaq.org
Suquamish Indian Tribe,Northwest,Federal,"PO Box 498, Suquamish, WA98392-0498",http://www.suquamish.nsn.us
Susanville Indian Rancheria,Pacific,Federal,"745 Joaquin St, Susanville, CA96130-3628",http://www.sir-nsn.gov
Swinomish Indian Tribe,Northwest,Federal,"11404 Moorage Way, La Conner, WA98257-0817",http://www.swinomish.org
Sycuan Band of the Kumeyaay Nation,Pacific,Federal,"1 Kwaaypaay Court, El Cajon, CA92019-1821",https://sycuantribe.com/
Table Mountain Rancheria,Pacific,Federal,"PO Box 410, Friant, CA93626-0410",
Takotna Village,Alaska,Federal,"PO Box TYC, Takotna, AK99675",
Tangirnaq Native Village  aka Woody Island Tribal Council,Alaska,Federal,"3449 E. Rezanof Drive, Kodiak, AK99615",http://www.woodyisland.com
Te-Moak of Western Shoshone Tribes of Nevada,Western,Federal,"525 Sunset Street, Elko, NV89801-2539",http://www.temoaktribe.com
Tejon Indian Tribe,Pacific,Federal,"1731 Hasti Acres Drive, Suite 108, Bakersfield, CA93309",
Telida Native Village Council,Alaska,Federal,"PO Box 9104, Nikolai, AK99691-0004",
Teller Traditional Council,Alaska,Federal,"PO Box 567, Teller, AK99778-0567",
The Eastern Chickahominy,Southeast,"3120 Mount Pleasant Road, Providence Forge, VA23140",,Thlopthlocco Tribal Town
Eastern Oklahoma,Federal,"PO Box 188, Okemah, OK74859-0188",http://tttown.org/,"Three Affiliated Tribes of Mandan, Hidatsa & Arikara Nation"
Great Plains,Federal,"404 Frontage Road, New Town, ND58763-9404",http://www.mhanation.com/,Timbisha Shoshone Tribe
Pacific,Federal,"PO Box 1779, Bishop, CA93515-1779",http://timbisha.com/,Tohono O'odham Nation
Western,Federal,"PO Box 837, Sells, AZ85634-0837",http://www.tonation-nsn.gov,Tonawanda Band of Seneca
Northeast,Federal,"7027 Meadville Rd, Basom, NY14013-9749",,Tonkawa Tribe of Oklahoma
Southern Plains,Federal,"1 Rush Buffalo Road, Tonkawa, OK74653-4449",http://www.tonkawatribe.com,Tonto Apache Tribe
Western,Federal,"30 Tonto Apache Reservation, #30, Payson, AZ85541-5556",,Torres-Martinez Desert Cahuilla Indians
Pacific,Federal,"PO Box 1160, Thermal, CA92274-1160",http://www.torresmartinez.org,Traditional Village of Togiak
Alaska,Federal,"PO Box 310, Togiak, AK99678-0310",,Tsalagiyi Nvdagi Tribe
Southern Plains,State,"4212 Kendall Lane, Waco, TX76705",https://texascherokees.net/,Tulalip Tribes
Northwest,Federal,"6406 Marine Drive, Tulalip, WA98271-9775",http://www.tulaliptribes-nsn.gov,Tule River Indian Reservation
Pacific,Federal,"PO Box 589, Porterville, CA93258-0589",http://www.tulerivertribe-nsn.gov,Tuluksak Native Community (IRA)
Alaska,Federal,"PO Box 95, Tuluksak, AK99679-0095",,Tunica-Biloxi Tribe of Louisiana
Southeast,Federal,"PO Box 1589, Marksville, LA71351-1589",http://www.tunicabiloxi.org,Tununak Council (IRA)
Alaska,Federal,"PO Box 77, Tununak, AK99681-0077",,Tuolumne Me-Wuk Tribe
Pacific,Federal,"PO Box 699, Tuolumne, CA95379-0699",http://www.mewuk.com,Turtle Mountain Band of Chippewa Indians
Great Plains,Federal,"PO Box 900, Belcourt, ND58316-0900",https://tmchippewa.com/,Tuscarora Nation
Northeast,Federal,"2006 Mt Hope Road, Via: Lewistown, NY",,Twenty-Nine Palms Band of Mission Indians
Pacific,Federal,"46200 Harrison Place, Coachella, CA92236-2031",,Twin Hills Village Council
Alaska,Federal,"PO Box 4061, Twin Hills, AK99576-8996",,Ugashik Traditional Village Council
Alaska,Federal,"2525 Bluebery Road, Suite 205, Anchorage, AK99503-2733",http://www.ugashikvillage.com,Umkumiut Native Village
Alaska,Federal,"PO Box 90062, Nightmute, AK99690-0062",,Unga Tribal Council
Alaska,Federal,"PO Box 508, Sand Point, AK99661-0508",
United Auburn Indian Community,Pacific,Federal,"10720 Indian Hill Rd, Auburn, CA95603-9403",http://www.auburnrancheria.com
United Cherokee Ani-Yun-Wiya Nation,Southeast,State,"PO Box 754, Guntersville, AL35976-9347",http://www.ucan-online.org
United Houma Nation,Southeast,State,"20986 Highway 1, Golden Meadow, LA70357-5208",http://www.unitedhoumanation.org
United Keetoowah Band of Cherokee Indians,Eastern Oklahoma,Federal,"PO Box 746, Tahlequah, OK74465-0746",https://www.ukb-nsn.gov/
Unkechaug Indian Nation,Northeast,State,"207 Poospatuck Ln, Mastic, NY11950-5201",
Upper Mattaponi Tribe,Southeast,Federal,"5932 East River Road, King William, VA23086",http://www.uppermattaponi.org
Upper Sioux Community,Midwest,Federal,"PO Box 147, Granite Falls, MN56241-0147",http://www.uppersiouxcommunity-nsn.gov
Upper Skagit Indian Tribe,Northwest,Federal,"25944 Community Plaza Way, Sedro Woolley, WA98284-9721",
Ute Indian Tribe - Uintah & Ouray,Western,Federal,"PO Box 190, Ft. Duchesne, UT84026",http://www.utetribe.com
Ute Mountain Ute Tribe,Southwest,Federal,"PO Box 189, Towaoc, CO81334-0188",
Venetie Village Council,Alaska,Federal,"PO Box 81119, Venetie, AK99781-0119",
Viejas Band of Kumeyaay Indians,Pacific,Federal,"1 Viejas Grade Road, Alpine, CA91901-1605",http://viejasbandofkumeyaay.org/
Village of Alakanuk,Alaska,Federal,"PO Box 149, Alakanuk, AK99554-0149",
Village of Anaktuvuk Pass,Alaska,Federal,"PO Box 21157, Anaktuvuk Pass, AK99721-0065",
Village of Bill Moore's Slough,Alaska,Federal,"PO Box 20288, Kotlik, AK99620-0288",
Village of Chefornak,Alaska,Federal,"PO Box 110, Chefornak, AK99561-0110",
Village of Clarks Point,Alaska,Federal,"PO Box 90, Clarks Point, AK99569-0090",
Village of Dot Lake,Alaska,Federal,"PO Box 70494, Fairbanks, AK99701",
Village of Iliamna,Alaska,Federal,"PO Box 286, Iliamna, AK99606-0286",
Village of Kalskag,Alaska,Federal,"PO Box 50, Kalskag, AK99607-0050",
Village of Kotlik,Alaska,Federal,"PO Box 20210, Kotlik, AK99620-0210",
Village of Lower Kalskag,Alaska,Federal,"PO Box 27, Lower Kalskag, AK99626-0027",
Village of Ohogamiut,Alaska,Federal,"PO Box 49, Marshall, AK99585-0049",
Village of Old Harbor,Alaska,Federal,"PO Box 62, Old Harbor, AK99643-0062",http://www.oldharbortribal.org
Village of Red Devil,Alaska,Federal,"PO Box 61, Red Devil, AK99656-0061",
Village of Salamatoff,Alaska,Federal,"PO Box 2682, Kenai, AK99611-2682",
Village of Sleetmute,Alaska,Federal,"PO Box 109, Sleetmute, AK99668-0109",
Village of Solomon,Alaska,Federal,"PO Box 2053, Nome, AK99762-2053",
Village of Stony River,Alaska,Federal,"PO Box SRV Birch Road, Stony River, AK99557-8998",
Village of Wainwright,Alaska,Federal,"PO Box 143, Wainwright, AK99782",
Waccamaw Siouan Tribe,Southeast,State,"PO Box 69, Bolton, NC28423-0069",http://www.waccamaw-siouan.com
Walker River Paiute Tribe,Western,Federal,"PO Box 220, Schurz, NV89427-0220",http://www.wrpt.us
Wampanoag Tribe of Gay Head (Aquinnah),Northeast,Federal,"20 Black Brook Rd, Aquinnah, MA02535-1546",http://www.wampanoagtribe.net
Washoe Tribes of Nevada and California,Western,Federal,"919 US Highway 395 South, Gardnerville, NV89410-8968",http://www.washoetribe.us
Wells Indian Colony Band Council,Western,Federal,"PO Box 809, Wells, NV89835-0809",
White Earth Reservation Business Committee,Midwest,Federal,"PO Box 418, White Earth, MN56591-0418",http://www.whiteearth.com
White Mountain Apache Tribe,Western,Federal,"PO Box 700, Whiteriver, AZ85941-0700",http://www.wmat.nsn.us
Wichita and Affiliated Tribes,Southern Plains,Federal,"PO Box 729, Anadarko, OK73005-0729",http://www.wichitatribe.com
Wilton Rancheria,Pacific,Federal,"9300 Wesf Stockton Boulevard, Suite 200, Elk Grove, CA95758",
Winnebago Tribe of Nebraska,Great Plains,Federal,"PO Box 687, Winnebago, NE68071-0687",http://www.winnebagotribe.com
Winnemucca Indian Colony Council,Western,Federal,"595 Humbolt Street, Reno, NV89509",
Wiyot Tribe,Pacific,Federal,"1000 Wiyot Dr, Loleta, CA95551-9640",http://www.wiyot.com
Woodfords Community Council,Western,Federal,"919 Hwy, 395 South, Gardnerville, NV89410",
Wrangell Cooperative Association (IRA),Alaska,Federal,"PO Box 2331, Wrangell, AK99929-2021",http://www.wrangell.com
Wyandotte Nation,Eastern Oklahoma,Federal,"64700 E Highway 60, Wyandotte, OK74370-2098",http://www.wyandotte-nation.org
Yakutat Tlingit Tribe,Alaska,Federal,"PO Box 418, Yakutat, AK99689-0418",http://www.ytttribe.org
Yankton Sioux Tribe,Great Plains,Federal,"PO Box 1153, Wagner, SD57380-1153",https://www.yanktonsiouxtribe.net/
Yavapai-Apache Nation,Western,Federal,"2400 W Datsi, Camp Verde, AZ86322-8412",http://www.yavapai-apache.org
Yavapai-Prescott Indian Tribe,Western,Federal,"530 E Merritt, Prescott, AZ86301-2038",
Yerington Paiute Tribe,Western,Federal,"171 Campbell Lane, Yerington, NV89447-9731",
Yocha Dene Wintun Nation,Pacific,Federal,"PO Box 18, Brooks, CA95606-0018",http://www.yochadehe.org
Yomba Shoshone Tribe,Western,Federal,"HC 61 Box 6275, Austin, NV89310-9302",http://www.yombatribe.org
Yupiit of Andreafski,Alaska,Federal,"PO Box 88, St. Mary's, AK99658-0088",
Yurok Tribe,Pacific,Federal,"PO Box 1027, Klamath, CA95548-1027",http://www.yuroktribe.org
